underlying,name,lot_size,expiries,inst_types,sample_symbol,fy_token
TIINDIA,TIINDIA 1400 CE,200,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:TIINDIA26NOV1700PE,101126112345430
TITAN,TITAN 3750 CE,175,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:TITAN26NOV3200PE,101126112341807
TMPV,TMPV 150 CE,1600,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:TMPV26NOV120PE,101126112340386
TORNTPHARM,TORNTPHARM 2900 CE,125,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:TORNTPHARM26NOV6800PE,101126112337455
TRENT,TRENT 2150 CE,225,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:TRENT26NOV1900PE,101126112343269
TVSMOTOR,TVSMOTOR 3450 CE,175,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:TVSMOTOR26NOV3300PE,101126112341837
ULTRACEMCO,ULTRACEMCO 11060 PE,50,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ULTRACEMCO26NOV6000PE,101126112345666
UNIONBANK,UNIONBANK 137.5 CE,4425,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:UNIONBANK26NOV135PE,101126112345878
UNITDSPR,UNITDSPR 920 CE,400,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:UNITDSPR26NOV880PE,101126112346653
UNOMINDA,UNOMINDA 900 CE,550,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:UNOMINDA26NOV840PE,101126112346661
UPL,UPL 300 CE,1355,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:UPL26NOV380PE,101126112340420
VBL,VBL 220 CE,1275,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:VBL26NOV220PE,101126112340431
VEDL,VEDL 150 CE,1150,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:VEDL26NOV170PE,101126112346701
VMM,VMM 55 CE,4850,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:VMM26NOV55PE,101126112346732
VOLTAS,VOLTAS 720 CE,375,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:VOLTAS26NOV640PE,101126112342685
WAAREEENER,WAAREEENER 1200 CE,175,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:WAAREEENER26NOV1700PE,101126112336610
WIPRO,WIPRO 132.5 CE,3000,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:WIPRO26NOV105PE,101126112345698
YESBANK,YESBANK 15 CE,31100,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:YESBANK26NOV42PE,101126112346751
ZYDUSLIFE,ZYDUSLIFE 700 CE,900,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ZYDUSLIFE26NOV820PE,101126112343631
